title,Point,View,Review,Star,Type
미라이,4.8,"510,477",127,"10,338","['이자카야 / 오뎅 / 꼬치', '사시미8종 (2인)\n41,000원\n마구로치즈아에\n19,000원\n양갈비 스미비 야끼\n23,000원\n노도구로 시오 야끼\n35,000원\n규 스테이크\n41,000원']"
시라카와,4.8,"321,374",75,"6,227",이자카야 / 오뎅 / 꼬치
페리지,4.8,"52,571",39,"1,467","['기타 양식', '페리지 에끌래어\n8,000원\n봉골레\n31,000원\n아뇰로띠\n31,000원\n안다리노 윗 랍스타\n36,000원\n텐더로인\n55,000원']"
상진식감,4.8,"30,936",41,878,까스 요리
맛짱조개,4.8,"130,259",64,"3,855","['해산물 요리', '조개찜 (중)\n48,000원\n해물모듬\n35,000원\n가리비숙회\n25,000원\n포뜬산오징어\n25,000원\n해물라면\n6,000원']"
스시카나에,4.7,"388,309",105,"6,100",회 / 스시
BISTROT de YOUNTVILLE,4.7,"383,255",156,"8,018",프랑스 음식
알라프리마,4.7,"254,818",87,"5,114",이탈리안
마루심,4.7,"511,594",222,"9,504","['돈부리 / 일본 카레 / 벤토', '히쯔마부시\n36,000원\n우나동\n36,000원\n장어 한마리 정식\n36,000원\n장어소금구이 (한마리)\n36,000원\n회정식\n25,000원']"
패티앤베지스,4.7,"58,444",88,"2,092","['브런치 / 버거 / 샌드위치', '클래식 버거\n10,900원\n시그니처 치즈 버거\n11,900원\n머쉬룸 치즈 버거\n13,900원\n치폴레 핫 치킨과 블루치즈 딥\n17,900원\n크리미 머쉬룸 맥앤치즈\n15,900원']"
일리조,4.7,"74,899",58,"2,000","['이탈리안', '알리오올리오\n16,000원\n봉골레파스타\n17,000원\n포르치니파스타\n20,000원\n라구파스타\n20,000원\n꼬토파스타\n23,000원']"
매덕스피자,4.7,"107,669",80,"3,120",기타 양식
까폼,4.7,"84,644",69,"2,535","['태국 음식', '똠양꿍\n18,000원\n뿌님팟퐁커리\n25,000원\n랭쎕\n25,000원\n커무양\n15,000원\n카무\n18,000원']"
원디그리노스,4.7,"16,061",35,598,다국적 아시아 음식
삐아프,4.7,"168,509",85,"4,267","['카페 / 디저트', '봉봉 4구 세트\n14,000원\n봉봉 6구 세트\n19,500원\n봉봉 10구 세트\n31,000원\n봉봉 15구 세트\n45,000원']"
스시렌,4.7,"17,832",16,338,"['회 / 스시', '런치 오마카세\n130,000원\n디너 오마카세\n250,000원']"
사브서울,4.7,"22,893",25,788,"['칵테일 / 와인', '대왕문어 카르파쵸\n15,000원\n비트앤엔다이브\n17,000원\n라비올로디우보\n28,000원\n한우채끝스테이크\n59,000원\n생선스튜\n30,000원']"
빈호,4.7,"4,902",7,244,퓨전 양식
한상더테이블,4.7,"5,876",8,201,퓨전 한식
반티엔야오카오위,4.7,"57,348",32,782,"['기타 중식', '마라카오위\n42,000원\n칭화지아오 카오위\n43,800원\n마라카오위 세트\n47,800원\n쏸차이 카오위\n43,800원\n마늘향 카오위\n38,000원']"
